lambda, sig squared, inference error, model 1 error, model 2 error
0.02,0.04000000000000001,0.008093151070309723,0.027733024209737778,0.038399167358875275,
0.02,0.16000000000000003,0.008726975917151089,0.06398145854473114,0.10345220565795898,
0.02,0.36,0.007716717110872431,0.02611243538558483,0.07978571951389313,
0.02,0.6400000000000001,0.03309460962858329,0.05544222891330719,0.05705874785780907,
0.02,1.0,0.009567147983253511,0.018959272652864456,0.04496120661497116,
0.06,0.04000000000000001,0.013076173966958433,0.05478803440928459,0.02236289530992508,
0.06,0.16000000000000003,0.012530447099605928,0.030293140560388565,0.13840067386627197,
0.06,0.36,0.012748077042511683,0.0671745240688324,0.027508186176419258,
0.06,0.6400000000000001,0.02011872051683431,0.05084427446126938,0.08053484559059143,
0.06,1.0,0.10636777734936996,0.36379551887512207,0.3736185133457184,
0.1,0.04000000000000001,0.016853049710755116,0.07131969183683395,0.04512419551610947,
0.1,0.16000000000000003,0.020924442958196742,0.06667467951774597,0.175839364528656,
0.1,0.36,0.012533963989213547,0.02365511655807495,0.058662667870521545,
0.1,0.6400000000000001,0.01656537536021253,0.03209127113223076,0.12147119641304016,
0.1,1.0,0.026821736122761473,0.057283710688352585,0.047097206115722656,
0.14,0.04000000000000001,0.00833531290055749,0.03244060277938843,0.12247717380523682,
0.14,0.16000000000000003,0.03490058368571754,0.6970244646072388,0.11743046343326569,
0.14,0.36,0.033004649046077604,0.058104924857616425,0.07654217630624771,
0.14,0.6400000000000001,0.006685983459818923,0.023125339299440384,0.06970605254173279,
0.14,1.0,0.01731994353939882,0.03791545704007149,0.03084804303944111,
