lambda, sig squared, inference error, model 1 error, model 2 error
0.02,0.04000000000000001,0.10039342627519798,0.14935147762298584,0.43331289291381836,
0.02,0.16000000000000003,0.02295789075412238,0.07338034361600876,0.0704767256975174,
0.02,0.36,0.014739240423310098,0.10981255769729614,0.029241856187582016,
0.02,0.6400000000000001,0.016410931782353127,0.058474861085414886,0.07036729156970978,
0.02,1.0,0.01523779403318231,0.04845180734992027,0.07606004178524017,
0.06,0.04000000000000001,0.008875191861059029,0.0514337494969368,0.13667528331279755,
0.06,0.16000000000000003,0.004756080161103163,0.06362809985876083,0.022861851379275322,
0.06,0.36,0.008135934599395185,0.04779052734375,0.4085392951965332,
0.06,0.6400000000000001,0.003115682506080295,0.4161609411239624,0.24920807778835297,
0.06,1.0,0.02324549261292316,0.09349673986434937,0.07482432574033737,
0.1,0.04000000000000001,0.023217677943827408,0.04654881730675697,0.5410783886909485,
0.1,0.16000000000000003,0.005911074247300602,0.017429014667868614,0.02288546785712242,
0.1,0.36,0.017214329322916642,0.07387194037437439,0.18008117377758026,
0.1,0.6400000000000001,0.016361464376381668,0.18207591772079468,0.19645950198173523,
0.1,1.0,0.012944575484301148,0.13491669297218323,0.024058792740106583,
0.14,0.04000000000000001,0.012643223785655047,0.08144718408584595,0.032284680753946304,
0.14,0.16000000000000003,0.02029988557735949,0.11079855263233185,0.05704735219478607,
0.14,0.36,0.011558440989836256,0.06548981368541718,0.09166684746742249,
0.14,0.6400000000000001,0.016319388922788277,0.037322431802749634,0.07794183492660522,
0.14,1.0,0.02152633363187679,0.579993724822998,0.08089013397693634,
