lambda, sig squared, inference error, model 1 error, model 2 error
0.02,0.04000000000000001,0.01506468727952185,0.07271633297204971,0.05825294554233551,
0.02,0.16000000000000003,0.012592570715943243,0.03044423833489418,0.06165730953216553,
0.02,0.36,0.006582986902204658,0.05147168040275574,0.03296418488025665,
0.02,0.6400000000000001,0.021400374536074213,0.04798731207847595,0.13566285371780396,
0.02,1.0,0.00561348099508494,0.0763828456401825,0.027356991544365883,
0.06,0.04000000000000001,0.02069064458729656,0.06074359267950058,0.06970293819904327,
0.06,0.16000000000000003,0.0071249533529019705,0.014738444238901138,0.1748843491077423,
0.06,0.36,0.003339366232135609,0.05314398556947708,0.014144998043775558,
0.06,0.6400000000000001,0.02283402750848036,0.04136230796575546,0.08325858414173126,
0.06,1.0,0.01320546042025486,0.1348668336868286,0.04564625769853592,
0.1,0.04000000000000001,0.004135013052672666,0.021116459742188454,0.0391303151845932,
0.1,0.16000000000000003,0.009954187225326877,0.016982506960630417,0.13684093952178955,
0.1,0.36,0.004544088365204654,0.03355710953474045,0.03607169911265373,
0.1,0.6400000000000001,0.013847061808201768,0.04447050020098686,0.08902198076248169,
0.1,1.0,0.004640474252519306,0.09999906271696091,0.14314617216587067,
0.14,0.04000000000000001,0.01599419755301941,0.03817058354616165,0.046480804681777954,
0.14,0.16000000000000003,0.021028671494627525,0.06811206042766571,0.0710856169462204,
0.14,0.36,0.005823707056867205,0.0215449221432209,0.03754385560750961,
0.14,0.6400000000000001,0.03355151477146819,0.045133043080568314,0.06367498636245728,
0.14,1.0,0.011679237868871716,0.6608681678771973,0.12772642076015472,
