lambda, sig squared, inference error, model 1 error, model 2 error
0.02,0.04000000000000001,0.020464200121737216,0.5736818313598633,0.045408234000205994,
0.02,0.16000000000000003,0.00857397071295662,0.04952052980661392,0.09374144673347473,
0.02,0.36,0.012453063954537581,0.04905061423778534,0.048578549176454544,
0.02,0.6400000000000001,0.010342223415971729,0.03499341383576393,0.04192071780562401,
0.02,1.0,0.009150975422742872,0.04690862447023392,0.05001973360776901,
0.06,0.04000000000000001,0.004132150251710575,0.036865390837192535,0.1936623454093933,
0.06,0.16000000000000003,0.00400282237997563,0.10733994841575623,0.021176081150770187,
0.06,0.36,0.003027518294201188,0.060650184750556946,0.03337227553129196,
0.06,0.6400000000000001,0.005788609621496399,0.03278900682926178,0.07981202751398087,
0.06,1.0,0.0191840962672942,0.16305583715438843,0.04217953234910965,
0.1,0.04000000000000001,0.006637859216077796,0.1359347105026245,0.019738219678401947,
0.1,0.16000000000000003,0.01541149109160728,0.02895386703312397,0.15122507512569427,
0.1,0.36,0.006322361358101791,0.062072187662124634,0.04360039904713631,
0.1,0.6400000000000001,0.013717402937278618,0.05997827649116516,0.051748864352703094,
0.1,1.0,0.0107382020750517,0.0245809406042099,0.04513036832213402,
0.14,0.04000000000000001,0.0071861715259220775,0.03753364086151123,0.02778155729174614,
0.14,0.16000000000000003,0.015713689846196813,0.047675419598817825,0.033580683171749115,
0.14,0.36,0.019331667739480217,0.08254766464233398,0.03445648401975632,
0.14,0.6400000000000001,0.005379868026512589,0.013118023052811623,0.01500073540955782,
0.14,1.0,0.018926903655875245,0.06973440945148468,0.04303746297955513,
