lambda, sig squared, inference error, model 1 error, model 2 error
0.02,0.04000000000000001,0.009934399567485134,0.018596816807985306,0.06430582702159882,
0.02,0.16000000000000003,0.024628224017676403,0.6271151304244995,0.034237273037433624,
0.02,0.36,0.007418583932097779,0.04553867131471634,0.11520952731370926,
0.02,0.6400000000000001,0.0026919742990940527,0.07010644674301147,0.17290863394737244,
0.02,1.0,0.017007424160294243,0.0547342523932457,0.07182882726192474,
0.06,0.04000000000000001,0.008745789642126732,0.057865411043167114,0.13480070233345032,
0.06,0.16000000000000003,0.013346894023914025,0.029140230268239975,0.030819140374660492,
0.06,0.36,0.005437044603574724,0.05890161544084549,0.026034511625766754,
0.06,0.6400000000000001,0.015701790376872787,0.08887287974357605,0.042522504925727844,
0.06,1.0,0.010932964567538719,0.0695008933544159,0.053034067153930664,
0.1,0.04000000000000001,0.020883417992015055,0.04780123382806778,0.17853215336799622,
0.1,0.16000000000000003,0.0022020577021652824,0.04214978963136673,0.008496973663568497,
0.1,0.36,0.009464901862782291,0.018838975578546524,0.03262941539287567,
0.1,0.6400000000000001,0.00993305913717904,0.018192168325185776,0.13763079047203064,
0.1,1.0,0.016031877580834703,0.032958731055259705,0.03601905703544617,
0.14,0.04000000000000001,0.015259296878446117,0.07705507427453995,0.024663757532835007,
0.14,0.16000000000000003,0.008324201428749688,0.05275095999240875,0.01649949885904789,
0.14,0.36,0.0070941040366024315,0.31336143612861633,0.02590317279100418,
0.14,0.6400000000000001,0.012472090000338582,0.08732493221759796,0.02294052392244339,
0.14,1.0,0.03221907041926289,0.10591432452201843,0.11090200394392014,
