lambda, sig squared, inference error, model 1 error, model 2 error
0.02,0.04000000000000001,0.007181555310352442,0.10496333241462708,0.033777859061956406,
0.02,0.16000000000000003,0.012050520660714128,0.04145941883325577,0.024607127532362938,
0.02,0.36,0.00971470279834122,0.05010963976383209,0.027567218989133835,
0.02,0.6400000000000001,0.02028779248067257,0.031947068870067596,0.05679874122142792,
0.02,1.0,0.0015564345123786141,0.00752112315967679,0.051017530262470245,
0.06,0.04000000000000001,0.014160462245243284,0.02376890368759632,0.17904090881347656,
0.06,0.16000000000000003,0.009420100970008076,0.027796346694231033,0.0697341114282608,
0.06,0.36,0.004650809590072382,0.11009453237056732,0.0257033109664917,
0.06,0.6400000000000001,0.011881318793040212,0.040641866624355316,0.032280173152685165,
0.06,1.0,0.006538298584504519,0.021073462441563606,0.10811131447553635,
0.1,0.04000000000000001,0.008393839345909572,0.017165284603834152,0.08166526257991791,
0.1,0.16000000000000003,0.013457828771993805,0.1271239072084427,0.029677217826247215,
0.1,0.36,0.006721798760875003,0.02380003221333027,0.019638419151306152,
0.1,0.6400000000000001,0.005383296020585505,0.14046621322631836,0.023527728393673897,
0.1,1.0,0.011241013649614402,0.025386441498994827,0.02312527224421501,
0.14,0.04000000000000001,0.016344648479686336,1.2315788269042969,0.09006296098232269,
0.14,0.16000000000000003,0.012152870512262699,0.04758922755718231,0.17637377977371216,
0.14,0.36,0.004282929572200296,0.04522857815027237,0.02310566045343876,
0.14,0.6400000000000001,0.007723063299530562,0.09283199161291122,0.05085417628288269,
0.14,1.0,0.0212800383464647,0.041361186653375626,0.06639864295721054,
