lambda, sig squared, inference error, model 1 error, model 2 error
0.02,0.04000000000000001,0.008104069459132782,0.015976011753082275,0.11611007153987885,
0.02,0.16000000000000003,0.019318442581508156,0.03805587440729141,0.028448710218071938,
0.02,0.36,0.008091196039813979,0.02042846940457821,0.044408269226551056,
0.02,0.6400000000000001,0.008335190122889215,0.03514731675386429,0.027079306542873383,
0.02,1.0,0.008079186316357739,0.04337047412991524,0.030382655560970306,
0.06,0.04000000000000001,0.020004712712823426,0.04627857357263565,0.043166302144527435,
0.06,0.16000000000000003,0.023948651238396342,0.09796655923128128,0.08099459856748581,
0.06,0.36,0.007370650505046037,0.017720047384500504,0.06232783943414688,
0.06,0.6400000000000001,0.025121324186885004,0.04734116047620773,0.044636595994234085,
0.06,1.0,0.010092193924366112,0.05575122684240341,0.14803606271743774,
0.1,0.04000000000000001,0.014892618144171777,0.20978371798992157,0.03839723765850067,
0.1,0.16000000000000003,0.017123298691820697,0.06357744336128235,0.07183271646499634,
0.1,0.36,0.019320268899558436,0.11087796837091446,0.10338521003723145,
0.1,0.6400000000000001,0.026618347934507482,0.05489710718393326,0.09300823509693146,
0.1,1.0,0.008315003552006232,0.04756956920027733,0.15477904677391052,
0.14,0.04000000000000001,0.05285348946274372,0.09622175246477127,0.09654960036277771,
0.14,0.16000000000000003,0.009217476616381273,0.07905338704586029,0.05187097191810608,
0.14,0.36,0.006691180795343696,0.055196523666381836,0.04650038480758667,
0.14,0.6400000000000001,0.00954608112330249,0.016555067151784897,0.031458087265491486,
0.14,1.0,0.004470873503143348,0.011055064387619495,0.0568365603685379,
