lambda, sig squared, inference error, model 1 error, model 2 error
0.02,0.04000000000000001,0.006575907000506071,0.038655854761600494,0.04101157933473587,
0.02,0.16000000000000003,0.003872885952364305,0.02778109908103943,0.19687601923942566,
0.02,0.36,0.011324042544407921,0.045087311416864395,0.03614914417266846,
0.02,0.6400000000000001,0.016426541404119355,0.03092825785279274,0.06995247304439545,
0.02,1.0,0.023412937056116065,0.12009744346141815,0.08792033791542053,
0.06,0.04000000000000001,0.008798603029923777,0.1368677169084549,0.017643585801124573,
0.06,0.16000000000000003,0.007756061823209436,0.023254550993442535,0.037062786519527435,
0.06,0.36,0.00942041021668238,0.026737559586763382,0.13792456686496735,
0.06,0.6400000000000001,0.014491930558552451,0.0815795511007309,0.049903616309165955,
0.06,1.0,0.00878716613341813,0.04417191073298454,0.11219194531440735,
0.1,0.04000000000000001,0.010708134266144692,0.14905503392219543,0.034589461982250214,
0.1,0.16000000000000003,0.007581514871453985,0.0928809642791748,0.04470190033316612,
0.1,0.36,0.02090902582388457,0.06691218167543411,0.36638641357421875,
0.1,0.6400000000000001,0.011714954492057974,0.028249597176909447,0.027947966009378433,
0.1,1.0,0.008299002203482413,0.03407340124249458,0.35115909576416016,
0.14,0.04000000000000001,0.004956209373545103,0.020841408520936966,0.04794485867023468,
0.14,0.16000000000000003,0.011477585367026106,0.0535087026655674,0.04685300588607788,
0.14,0.36,0.07630259823598692,0.13295982778072357,0.4795498549938202,
0.14,0.6400000000000001,0.012687911808126883,0.165667325258255,0.024264175444841385,
0.14,1.0,0.006709715881870868,0.03114214912056923,0.02008248306810856,
