lambda, sig squared, inference error, model 1 error, model 2 error
0.02,0.04000000000000001,0.007359485771870648,0.03569228947162628,0.07994489371776581,
0.02,0.16000000000000003,0.0031965319237373994,0.022549698129296303,0.033028099685907364,
0.02,0.36,0.004005962614631758,0.08758544921875,0.012883106246590614,
0.02,0.6400000000000001,0.020902444086236344,0.05227808654308319,0.08822763711214066,
0.02,1.0,0.003943018911441172,0.03699931129813194,0.01563636213541031,
0.06,0.04000000000000001,0.014675391195721943,0.05763766169548035,0.05399387329816818,
0.06,0.16000000000000003,0.013383661581632893,0.032888464629650116,0.040809325873851776,
0.06,0.36,0.01439741107670659,0.0323832705616951,0.04454934224486351,
0.06,0.6400000000000001,0.0075557538072347314,0.05781575292348862,0.1367446929216385,
0.06,1.0,0.0020268070644836127,0.0736415907740593,0.02099667116999626,
0.1,0.04000000000000001,0.012676701127038946,0.07994982600212097,0.03478449583053589,
0.1,0.16000000000000003,0.004553386853778872,0.008626020513474941,0.10717583447694778,
0.1,0.36,0.007169051458365123,0.023196373134851456,0.02277221903204918,
0.1,0.6400000000000001,0.020662733851096193,0.04418274015188217,0.07789972424507141,
0.1,1.0,0.013962664406732687,0.02612369880080223,0.033752188086509705,
0.14,0.04000000000000001,0.01153997606371,0.08790062367916107,0.03723921999335289,
0.14,0.16000000000000003,0.006749829267616159,0.03756677359342575,0.062424637377262115,
0.14,0.36,0.02399507604161816,0.06426457315683365,0.05693637579679489,
0.14,0.6400000000000001,0.010087863126070712,0.14200666546821594,0.03239919990301132,
0.14,1.0,0.009596083558001983,0.05187445133924484,0.04403795301914215,
