lambda, sig squared, inference error, model 1 error, model 2 error
0.02,0.010000000000000002,0.014379296542180434,0.08251841366291046,0.03968603163957596,
0.02,0.04000000000000001,0.013485529423686901,0.04231201857328415,0.03828543424606323,
0.02,0.09,0.006355458674982943,0.021346649155020714,0.08775085210800171,
0.02,0.16000000000000003,0.017368568096064175,0.12429569661617279,0.07779083400964737,
0.02,0.25,0.0095100276822483,0.02692636288702488,0.07632820308208466,
0.02,0.36,0.06872019371682472,0.09676423668861389,0.12172208726406097,
0.02,0.48999999999999994,0.007277811396388746,0.08240333199501038,0.03618259355425835,
0.02,0.6400000000000001,0.015572643626338947,0.03173312917351723,0.049366481602191925,
0.02,0.81,0.006443693202992282,0.02774854376912117,0.022842999547719955,
0.02,1.0,0.0069219481270943,0.03044329583644867,0.02641366980969906,
0.04,0.010000000000000002,0.005070521519877693,0.08910182118415833,0.04376813769340515,
0.04,0.04000000000000001,0.006515152185899474,0.05647595599293709,0.03512423858046532,
0.04,0.09,0.02297300808936677,0.07076115161180496,0.05284539982676506,
0.04,0.16000000000000003,0.011608594978228354,0.024823561310768127,0.05329929292201996,
0.04,0.25,0.004293166568636214,0.043941840529441833,0.2420019805431366,
0.04,0.36,0.00695344372429808,0.06617335975170135,0.021117527037858963,
0.04,0.48999999999999994,0.0051194065307661575,0.08143500238656998,0.035581134259700775,
0.04,0.6400000000000001,0.02378132739415075,0.059896379709243774,0.11987639963626862,
0.04,0.81,0.016856982834810384,0.09326440095901489,0.09295279532670975,
0.04,1.0,0.0038430316691236894,0.05249481275677681,0.07154545933008194,
0.06,0.010000000000000002,0.014152130038646384,0.04871979355812073,0.03823234513401985,
0.06,0.04000000000000001,0.006784514150948958,0.021317817270755768,0.030302103608846664,
0.06,0.09,0.019556881653588876,0.05902887135744095,0.05979101359844208,
0.06,0.16000000000000003,0.008002023250439168,0.2541924715042114,0.061329688876867294,
0.06,0.25,0.009343020330281787,0.015116067603230476,0.04110302776098251,
0.06,0.36,0.01009069920254787,0.039677709341049194,0.04607084020972252,
0.06,0.48999999999999994,0.012080980248009368,0.15632350742816925,0.37614911794662476,
0.06,0.6400000000000001,0.011555274063785844,0.03524854779243469,0.03086087852716446,
0.06,0.81,0.025700694677316314,0.129020556807518,0.18194663524627686,
0.06,1.0,0.011350070969402777,0.09532629698514938,0.076710045337677,
0.08,0.010000000000000002,0.012533967805496458,0.03540754318237305,0.05361589789390564,
0.08,0.04000000000000001,0.009200118820666842,0.14718347787857056,0.021645212545990944,
0.08,0.09,0.009153492092713367,0.18879008293151855,0.044685669243335724,
0.08,0.16000000000000003,0.005482318683602009,0.0860518217086792,0.03681356459856033,
0.08,0.25,0.044191896472636695,0.17891933023929596,0.3965456485748291,
0.08,0.36,0.020438979595246244,0.05753075331449509,0.04281916469335556,
0.08,0.48999999999999994,0.009301322822095483,0.07984411716461182,0.03501225262880325,
0.08,0.6400000000000001,0.041634378600385796,0.07569153606891632,0.08119446039199829,
0.08,0.81,0.010310260088429031,0.03201708942651749,0.023048043251037598,
0.08,1.0,0.019237753765376547,0.0860065370798111,0.26644641160964966,
0.1,0.010000000000000002,0.01741994536120373,0.22570721805095673,0.5849795937538147,
0.1,0.04000000000000001,0.0024041601596845766,0.04344828054308891,0.02172909677028656,
0.1,0.09,0.010722833537406492,0.02624359540641308,0.041544459760189056,
0.1,0.16000000000000003,0.004805080489225263,0.01490030251443386,0.17112740874290466,
0.1,0.25,0.012058707146693787,0.025053303688764572,0.06613025069236755,
0.1,0.36,0.019479172332048912,0.06341660022735596,0.09848432242870331,
0.1,0.48999999999999994,0.011724149482293044,0.04813697934150696,0.07720915973186493,
0.1,0.6400000000000001,0.004778816356461501,0.09708935767412186,0.029273128136992455,
0.1,0.81,0.07889139268095871,0.13382229208946228,0.16014409065246582,
0.1,1.0,0.01198451695989327,0.02348722331225872,0.4660908877849579,
0.12,0.010000000000000002,0.011526775625268064,0.44070887565612793,0.04189455881714821,
0.12,0.04000000000000001,0.00843631376107032,0.050856105983257294,0.037977464497089386,
0.12,0.09,0.008849742446298589,0.03694463148713112,0.15227371454238892,
0.12,0.16000000000000003,0.014828119803513234,0.03439056873321533,0.09002044796943665,
0.12,0.25,0.016504695490770358,0.05911907181143761,0.08335195481777191,
0.12,0.36,0.008802999494492827,0.020994853228330612,0.03429488465189934,
0.12,0.48999999999999994,0.014500427085145252,0.028198089450597763,0.09315326064825058,
0.12,0.6400000000000001,0.007383898224953532,0.07032236456871033,0.031279392540454865,
0.12,0.81,0.011734513155141688,0.039374709129333496,0.02965639904141426,
0.12,1.0,0.015221719651837474,0.032640375196933746,0.02578618749976158,
0.14,0.010000000000000002,0.011424950649462154,0.07460769265890121,0.08368945121765137,
0.14,0.04000000000000001,0.02092508761651058,0.05030263960361481,0.28591692447662354,
0.14,0.09,0.010702210018647112,0.035247378051280975,0.04342219978570938,
0.14,0.16000000000000003,0.010740834298814395,0.033682581037282944,0.029487933963537216,
0.14,0.25,0.007560739381152507,0.08578088879585266,0.12030941992998123,
0.14,0.36,0.013241276991957634,0.029617754742503166,0.050297804176807404,
0.14,0.48999999999999994,0.010762014403666118,0.026748260483145714,0.07952817529439926,
0.14,0.6400000000000001,0.013915562939763202,0.10324907302856445,0.07256616652011871,
0.14,0.81,0.006397888216992881,0.04803290218114853,0.03647991642355919,
0.14,1.0,0.008939590323939135,0.07188224792480469,0.04875709116458893,
