lambda, sig squared, inference error, model 1 error, model 2 error
0.02,0.010000000000000002,0.004045213115036891,0.03247850388288498,0.01614426262676716,
0.02,0.04000000000000001,0.004482907278247374,0.024482430890202522,0.012213939800858498,
0.02,0.09,0.018011070534756292,0.03571273759007454,0.027766529470682144,
0.02,0.16000000000000003,0.0047604736410838955,0.10782760381698608,0.019137633964419365,
0.02,0.25,0.005576793231791787,0.02114078961312771,0.00980868749320507,
0.02,0.36,0.0049025051846230735,0.07784666121006012,0.01004081405699253,
0.02,0.48999999999999994,0.0034765991062424093,0.010267546400427818,0.010329519398510456,
0.02,0.6400000000000001,0.007620915266882162,0.016220225021243095,0.022854642942547798,
0.02,0.81,0.0040586359246393335,0.010703260079026222,0.010394389741122723,
0.02,1.0,0.003510593237243349,0.24384705722332,0.013188235461711884,
