lambda, sig squared, inference error, model 1 error, model 2 error
0.02,0.010000000000000002,0.004115014338889521,0.011163413524627686,0.025948235765099525,
0.02,0.04000000000000001,0.004004975504889916,0.024230219423770905,0.013992195017635822,
0.02,0.09,0.0024676043693935327,0.005322958342730999,0.014227086678147316,
0.02,0.16000000000000003,0.002064668902447522,0.025834321975708008,0.00726489070802927,
0.02,0.25,0.00534542315589562,0.018146418035030365,0.029699742794036865,
0.02,0.36,0.0022225540783684075,0.012093992903828621,0.01190659124404192,
0.02,0.48999999999999994,0.005578350769694587,0.01307968981564045,0.03612465411424637,
0.02,0.6400000000000001,0.007743920711892207,0.01476350612938404,0.0484720803797245,
0.02,0.81,0.00457037010838621,0.01876789890229702,0.06606130301952362,
0.02,1.0,0.00680224873205625,0.012386107817292213,0.01607600972056389,
