lambda, sig squared, inference error, model 1 error, model 2 error
0.02,0.010000000000000002,0.00668221207024189,0.03426717221736908,0.01843750849366188,
0.02,0.04000000000000001,0.00417665017164087,0.0317842997610569,0.014635865576565266,
0.02,0.09,0.005486612356164131,0.01157156191766262,0.02385389618575573,
0.02,0.16000000000000003,0.004278039463620607,0.031168892979621887,0.012024793773889542,
0.02,0.25,0.0019894334592392656,0.009156135842204094,0.008648515678942204,
0.02,0.36,0.011165158855300653,0.024610212072730064,0.021252939477562904,
0.02,0.48999999999999994,0.002636179036373438,0.008410136215388775,0.017004981637001038,
0.02,0.6400000000000001,0.006867400855857384,0.018217286095023155,0.013609124347567558,
0.02,0.81,0.0032987556223899954,0.017253126949071884,0.011709695681929588,
0.02,1.0,0.0030630771272732583,0.030374759808182716,0.023787565529346466,
