lambda, sig squared, inference error, model 1 error, model 2 error
0.02,0.010000000000000002,0.002349092887548273,0.033879779279232025,0.008220775052905083,
0.02,0.04000000000000001,0.0018090990325599365,0.005873664282262325,0.2926561236381531,
0.02,0.09,0.001857479009106349,0.02555328980088234,0.01250415574759245,
0.02,0.16000000000000003,0.019227514550790928,0.03159217908978462,0.049651216715574265,
0.02,0.25,0.012504119500098205,0.07885581254959106,0.03022664412856102,
0.02,0.36,0.005076666163754906,0.022364992648363113,0.1875094175338745,
0.02,0.48999999999999994,0.0007636908336935735,0.023105114698410034,0.005772590637207031,
0.02,0.6400000000000001,0.002560292187038308,0.013031840324401855,0.012625487521290779,
0.02,0.81,0.004890095880360862,0.22132566571235657,0.022159451618790627,
0.02,1.0,0.0011335458349681345,0.004851474892348051,0.014808413572609425,
