lambda, sig squared, inference error, model 1 error, model 2 error
0.02,0.010000000000000002,0.010678585037200233,0.023392213508486748,0.02292593941092491,
0.02,0.04000000000000001,0.0035168781465348326,0.015050424262881279,0.015857791528105736,
0.02,0.09,0.008801439526599732,0.01519119180738926,0.02490929886698723,
0.02,0.16000000000000003,0.02301615383621499,0.05462450534105301,0.03843862935900688,
0.02,0.25,0.006893566265875215,0.14275185763835907,0.015449452213943005,
0.02,0.36,0.005818074942310621,0.08640541136264801,0.01269408781081438,
0.02,0.48999999999999994,0.006299241771123627,0.015526105649769306,0.013790374621748924,
0.02,0.6400000000000001,0.005726302579365001,0.038852352648973465,0.020563190802931786,
0.02,0.81,0.003210653287215845,0.015154761262238026,0.016176309436559677,
0.02,1.0,0.0057536414921061175,0.07851730287075043,0.01535023283213377,
