lambda, sig squared, inference error, model 1 error, model 2 error
0.02,0.010000000000000002,0.0016141586873494006,0.018628569319844246,0.0060770949348807335,
0.02,0.04000000000000001,0.005718146147993956,0.010063468478620052,0.06511478871107101,
0.02,0.09,0.0024222344605150836,0.02748454175889492,0.01888611912727356,
0.02,0.16000000000000003,0.002314600236764363,0.011838510632514954,0.0964127704501152,
0.02,0.25,0.0006039991606400706,0.01073057483881712,0.009677269496023655,
0.02,0.36,0.0015073641155861981,0.06973592936992645,0.017604518681764603,
0.02,0.48999999999999994,0.002467972997242128,0.01735019125044346,0.03468098118901253,
0.02,0.6400000000000001,0.1737810592008282,1.1066917181015015,0.1806006282567978,
0.02,0.81,0.007522575647656911,0.026518339291214943,0.024809259921312332,
0.02,1.0,0.006906390722329537,0.029586125165224075,0.02414679154753685,
