lambda, sig squared, inference error, model 1 error, model 2 error
0.02,0.010000000000000002,0.00501690208777451,0.02250947430729866,0.03679710999131203,
0.02,0.04000000000000001,0.0013700610522888832,0.020032919943332672,0.005830085836350918,
0.02,0.09,0.0026969110600941664,0.02479095757007599,0.019319431856274605,
0.02,0.16000000000000003,0.0025194094738450615,0.003936313092708588,0.018744898959994316,
0.02,0.25,0.006188518169557528,0.012669379822909832,0.06763821840286255,
0.02,0.36,0.003636339659366783,0.01233680546283722,0.015393768437206745,
0.02,0.48999999999999994,0.0035817530508045385,0.08477198332548141,0.019402533769607544,
0.02,0.6400000000000001,0.004569541146490716,0.027898916974663734,0.04280853644013405,
0.02,0.81,0.0023199355754260193,0.014938424341380596,0.007599689066410065,
0.02,1.0,0.004534888406090855,0.012155965901911259,0.02501656673848629,
