lambda, sig squared, inference error, model 1 error, model 2 error
0.02,0.010000000000000002,0.0005398984604617881,0.006085981149226427,0.01432037353515625,
0.02,0.04000000000000001,0.00580527724533926,0.022715402767062187,0.03227652981877327,
0.02,0.09,0.005110554548994682,0.015931036323308945,0.026570290327072144,
0.02,0.16000000000000003,0.012462734899313838,0.028567973524332047,0.04132022336125374,
0.02,0.25,0.0038565921280331044,0.015414439141750336,0.022949006408452988,
0.02,0.36,0.0029405497575327156,0.013804877176880836,0.01150323636829853,
0.02,0.48999999999999994,0.0029339706296752062,0.018800804391503334,0.008341366425156593,
0.02,0.6400000000000001,0.0033114677566884274,0.013686686754226685,0.030807003378868103,
0.02,0.81,0.004438297142823777,0.02167344093322754,0.024298109114170074,
0.02,1.0,0.013692947461200864,0.02381361462175846,0.8536468744277954,
