lambda, sigma squared, inference error
0.02,0.01,0.003211023883213155
0.02,0.04,0.003113593995634283
0.02,0.09,0.0031885136512914596
0.02,0.16,0.004610512794067646
0.02,0.25,0.004322510494402778
0.02,0.36,0.003730224604532998
0.02,0.49,0.0034672197743561887
0.02,0.64,0.004810668836307786
0.02,0.81,0.0034984473035108037
0.02,1.0,0.004351589242499078
