lambda, sig squared, inference error, model 1 error, model 2 error
0.02,0.010000000000000002,0.003304479870524964,0.010926282033324242,0.023079659789800644,
0.02,0.04000000000000001,0.0030052908353478563,0.01154561247676611,0.01215931586921215,
0.02,0.09,0.001595073903238546,0.03966302424669266,0.005404486786574125,
0.02,0.16000000000000003,0.0033091628277364432,0.01459219865500927,0.02965620718896389,
0.02,0.25,0.006177736291746232,0.010696777142584324,0.0101435836404562,
0.02,0.36,0.003737742934721283,0.061858903616666794,0.012650842778384686,
0.02,0.48999999999999994,0.006994026547902855,0.029526973143219948,0.038411565124988556,
0.02,0.6400000000000001,0.005568461735823554,0.018731072545051575,0.02144766040146351,
0.02,0.81,0.004187693562289727,0.06600463390350342,0.015609433874487877,
0.02,1.0,0.00798959065854462,0.024788182228803635,0.06841777265071869,
